iso_alpha,year_,healthy_unaffordable_share
JAM,2017,64.7
JAM,2018,64.3
JAM,2019,65.0
JAM,2020,66.2
JPN,2017,2.5
JPN,2018,2.5
JPN,2019,2.5
JPN,2020,2.5
JOR,2017,15.8
JOR,2018,14.9
JOR,2019,14.2
JOR,2020,14.9
KAZ,2017,1.5
KAZ,2018,1.1
KAZ,2019,1.0
KAZ,2020,1.2
KEN,2017,83.5
KEN,2018,81.2
KEN,2019,80.7
KEN,2020,81.1
KGZ,2017,56.6
KGZ,2018,47.5
KGZ,2019,45.3
KGZ,2020,49.6
LAO,2017,80.6
LAO,2018,79.2
LAO,2019,78.4
LAO,2020,79.8
LVA,2017,3.4
LVA,2018,2.4
LVA,2019,1.7
LVA,2020,1.8
LSO,2017,80.2
LSO,2018,81.0
LSO,2019,82.0
LSO,2020,83.5
LBR,2017,97.1
LBR,2018,96.9
LBR,2019,96.7
LBR,2020,96.8
LTU,2017,3.6
LTU,2018,2.4
LTU,2019,1.2
LTU,2020,1.2
LUX,2017,0.4
LUX,2018,0.4
LUX,2019,0.1
LUX,2020,0.1
MDG,2017,97.1
MDG,2018,97.1
MDG,2019,97.0
MDG,2020,97.0
MWI,2017,95.5
MWI,2018,95.7
MWI,2019,96.3
MWI,2020,96.6
MYS,2017,2.6
MYS,2018,2.1
MYS,2019,1.7
MYS,2020,1.9
MDV,2017,4.2
MDV,2018,2.4
MDV,2019,1.1
MDV,2020,1.4
MLI,2017,80.1
MLI,2018,77.5
MLI,2019,73.4
MLI,2020,74.3
MLT,2017,0.3
MLT,2018,0.3
MLT,2019,0.7
MLT,2020,0.7
MRT,2017,62.9
MRT,2018,62.4
MRT,2019,60.7
MRT,2020,60.7
MUS,2017,14.8
MUS,2018,13.5
MUS,2019,12.2
MUS,2020,13.5
MEX,2017,26.1
MEX,2018,24.9
MEX,2019,23.7
MEX,2020,26.3
MDA,2017,5.9
MDA,2018,4.7
MDA,2019,5.8
MDA,2020,6.7
MNG,2017,55.3
MNG,2018,52.8
MNG,2019,49.4
MNG,2020,51.4
MNE,2017,17.4
MNE,2018,18.1
MNE,2019,17.8
MNE,2020,17.5
MAR,2017,18.9
MAR,2018,17.5
MAR,2019,16.7
MAR,2020,16.7
MOZ,2017,91.3
MOZ,2018,90.7
MOZ,2019,90.9
MOZ,2020,91.5
MMR,2017,68.1
MMR,2018,63.6
MMR,2019,59.7
MMR,2020,65.1
NAM,2017,54.4
NAM,2018,54.3
NAM,2019,55.5
NAM,2020,56.8
NPL,2017,86.8
NPL,2018,84.5
NPL,2019,83.3
NPL,2020,84.0
NLD,2017,0.4
NLD,2018,0.3
NLD,2019,0.2
NLD,2020,0.2
NIC,2017,32.2
NIC,2018,34.4
NIC,2019,35.5
NIC,2020,35.7
NER,2017,91.1
NER,2018,89.2
NER,2019,88.5
NER,2020,88.8
NGA,2017,94.1
NGA,2018,94.8
NGA,2019,95.3
NGA,2020,95.9
MKD,2017,21.8
MKD,2018,18.8
MKD,2019,17.5
MKD,2020,18.0
NOR,2017,0.5
NOR,2018,0.4
NOR,2019,0.3
NOR,2020,0.4
PAK,2017,79.7
PAK,2018,79.0
PAK,2019,81.2
PAK,2020,83.5
PSE,2017,25.4
PSE,2018,25.8
PSE,2019,25.4
PSE,2020,23.1
PAN,2017,21.1
PAN,2018,18.5
PAN,2019,18.0
PAN,2020,18.2
PRY,2017,20.1
PRY,2018,18.7
PRY,2019,17.9
PRY,2020,17.8
PER,2017,23.7
PER,2018,20.9
PER,2019,20.6
PER,2020,20.5
PHL,2017,71.0
PHL,2018,71.0
PHL,2019,68.6
PHL,2020,68.6
POL,2017,1.0
POL,2018,1.4
POL,2019,0.8
POL,2020,1.0
PRT,2017,1.1
PRT,2018,1.1
PRT,2019,0.5
PRT,2020,0.5
ROU,2017,11.9
ROU,2018,6.9
ROU,2019,8.3
ROU,2020,8.8
RUS,2017,4.0
RUS,2018,3.7
RUS,2019,3.1
RUS,2020,3.5
RWA,2017,89.0
RWA,2018,86.6
RWA,2019,85.2
RWA,2020,86.3
LCA,2017,20.2
LCA,2018,20.1
LCA,2019,20.3
LCA,2020,20.6
STP,2017,84.4
STP,2018,84.4
STP,2019,84.3
STP,2020,84.7
SEN,2017,53.0
SEN,2018,47.3
SEN,2019,45.5
SEN,2020,46.0
SRB,2017,29.0
SRB,2018,14.9
SRB,2019,16.3
SRB,2020,16.3
SYC,2017,8.8
SYC,2018,7.8
SYC,2019,7.4
SYC,2020,6.8
SLE,2017,91.1
SLE,2018,91.1
SLE,2019,89.1
SLE,2020,89.2
SVK,2017,2.0
SVK,2018,2.4
SVK,2019,1.2
